"dummy","patient"
"1000000135","1000000001"
"1000000136","1000000002"
"1000000137","1000000003"
"1000000138","1000000004"
"1000000139","1000000005"
"1000000140","1000000006"
"1000000141","1000000007"
"1000000142","1000000008"
"1000000143","1000000009"
"1000000144","1000000010"
"1000000145","1000000011"
"1000000146","1000000012"
"1000000147","1000000013"
"1000000148","1000000014"
"1000000149","1000000015"
"1000000150","1000000016"
"1000000151","1000000017"
"1000000152","1000000018"
"1000000153","1000000019"
"1000000154","1000000020"
"1000000155","1000000021"
"1000000156","1000000022"
"1000000157","1000000023"
"1000000158","1000000024"
"1000000159","1000000025"
"1000000160","1000000026"
"1000000161","1000000027"
"1000000162","1000000028"
"1000000163","1000000029"
"1000000164","1000000030"
"1000000165","1000000031"
"1000000166","1000000032"
"1000000167","1000000033"
"1000000168","1000000034"
"1000000169","1000000035"
"1000000170","1000000036"
"1000000171","1000000037"
"1000000172","1000000038"
"1000000173","1000000039"
"1000000174","1000000040"
"1000000175","1000000041"
"1000000176","1000000042"
"1000000177","1000000043"
"1000000178","1000000044"
"1000000179","1000000045"
"1000000180","1000000046"
"1000000181","1000000047"
"1000000182","1000000048"
"1000000183","1000000049"
"1000000184","1000000050"
"1000000185","1000000051"
"1000000186","1000000052"
"1000000187","1000000053"
"1000000188","1000000054"
"1000000189","1000000055"
"1000000190","1000000056"
"1000000191","1000000057"
"1000000192","1000000058"
"1000000193","1000000059"
"1000000194","1000000060"
"1000000195","1000000061"
"1000000196","1000000062"
"1000000197","1000000063"
"1000000198","1000000064"
"1000000199","1000000065"
"1000000200","1000000066"
"1000000201","1000000067"
"1000000202","1000000068"
"1000000203","1000000069"
"1000000204","1000000070"
"1000000205","1000000071"
"1000000206","1000000072"
"1000000207","1000000073"
"1000000208","1000000074"
"1000000209","1000000075"
"1000000210","1000000076"
"1000000211","1000000077"
"1000000212","1000000078"
"1000000213","1000000079"
"1000000214","1000000080"
"1000000215","1000000081"
"1000000216","1000000082"
"1000000217","1000000083"
"1000000218","1000000084"
"1000000219","1000000085"
"1000000220","1000000086"
"1000000221","1000000087"
"1000000222","1000000088"
"1000000223","1000000089"
"1000000224","1000000090"
"1000000225","1000000091"
"1000000226","1000000092"
"1000000227","1000000093"
"1000000228","1000000094"
"1000000229","1000000095"
"1000000230","1000000096"
"1000000231","1000000097"
"1000000232","1000000098"
"1000000233","1000000099"
"1000000234","1000000100"
"1000000235","1000000101"
"1000000236","1000000102"
"1000000237","1000000103"
"1000000238","1000000104"
"1000000239","1000000105"
"1000000240","1000000106"
"1000000241","1000000107"
"1000000242","1000000108"
"1000000243","1000000109"
"1000000244","1000000110"
"1000000245","1000000111"
"1000000246","1000000112"
"1000000247","1000000113"
"1000000248","1000000114"
"1000000249","1000000115"
"1000000250","1000000116"
"1000000251","1000000117"
"1000000252","1000000118"
"1000000253","1000000119"
"1000000254","1000000120"
"1000000255","1000000121"
"1000000256","1000000122"
"1000000257","1000000123"
"1000000258","1000000124"
"1000000259","1000000125"
"1000000260","1000000126"
"1000000261","1000000127"
"1000000262","1000000128"
"1000000263","1000000129"
"1000000264","1000000130"
"1000000265","1000000131"
"1000000266","1000000132"
"1000000267","1000000133"
"1000000268","1000000103"
"1000000269","1000000103"
"1000000270","1000000103"
"1000000271","1000000103"
"1000000272","1000000103"
"1000000273","1000000103"
"1000000274","1000000103"
"1000000275","1000000103"
"1000000276","1000000103"
"1000000277","1000000103"
"1000000278","1000000103"
"1000000279","1000000103"
"1000000280","1000000103"
"1000000281","1000000103"
"1000000282","1000000103"
"1000000283","1000000103"
"1000000284","1000000103"
"1000000285","1000000103"
"1000000286","1000000103"
"1000000287","1000000103"
"1000000288","1000000103"
"1000000289","1000000103"
"1000000290","1000000103"
"1000000291","1000000103"
"1000000292","1000000103"
"1000000293","1000000103"
"1000000294","1000000103"
"1000000295","1000000103"
"1000000296","1000000103"
"1000000297","1000000103"
"1000000298","1000000103"
"1000000299","1000000103"
"1000000300","1000000103"
"1000000301","1000000103"
"1000000302","1000000103"
"1000000303","1000000103"
"1000000304","1000000103"
"1000000305","1000000103"
"1000000306","1000000103"
"1000000307","1000000103"
"1000000308","1000000103"
"1000000309","1000000103"
"1000000310","1000000103"
"1000000311","1000000103"
"1000000312","1000000103"
"1000000313","1000000103"
"1000000314","1000000103"
"1000000315","1000000103"
"1000000316","1000000103"
"1000000317","1000000103"
"1000000318","1000000103"
"1000000319","1000000103"
"1000000320","1000000103"
"1000000321","1000000103"
"1000000322","1000000103"
"1000000323","1000000103"
"1000000324","1000000103"
"1000000325","1000000103"
"1000000326","1000000103"
"1000000327","1000000103"
"1000000328","1000000103"
"1000000329","1000000103"
"1000000330","1000000103"
"1000000331","1000000103"
"1000000332","1000000103"
"1000000333","1000000103"
"1000000334","1000000103"
"1000000335","1000000103"
"1000000336","1000000103"
"1000000337","1000000103"
"1000000338","1000000103"
"1000000339","1000000103"
"1000000340","1000000103"
"1000000341","1000000103"
"1000000342","1000000103"
"1000000343","1000000103"
"1000000344","1000000103"
"1000000345","1000000103"
"1000000346","1000000103"
"1000000347","1000000103"
"1000000348","1000000103"
"1000000349","1000000103"
"1000000350","1000000103"
"1000000351","1000000103"
"1000000352","1000000103"
"1000000353","1000000103"
"1000000354","1000000103"
"1000000355","1000000103"
"1000000356","1000000103"
"1000000357","1000000103"
"1000000358","1000000103"
"1000000359","1000000103"
"1000000360","1000000103"
"1000000361","1000000103"
"1000000362","1000000103"
"1000000363","1000000103"
"1000000364","1000000103"
"1000000365","1000000103"
"1000000366","1000000103"
"1000000367","1000000103"
"1000000368","1000000103"
"1000000369","1000000103"
"1000000370","1000000103"
"1000000371","1000000103"
"1000000372","1000000103"
"1000000373","1000000103"
"1000000374","1000000103"
"1000000375","1000000103"
"1000000376","1000000103"
"1000000377","1000000103"
"1000000378","1000000103"
"1000000379","1000000103"
"1000000380","1000000103"
"1000000381","1000000103"
"1000000382","1000000103"
"1000000383","1000000103"
"1000000384","1000000103"
"1000000385","1000000103"
"1000000386","1000000103"
"1000000387","1000000103"
"1000000388","1000000103"
"1000000389","1000000103"
"1000000390","1000000103"
"1000000391","1000000103"
"1000000392","1000000103"
"1000000393","1000000103"
"1000000394","1000000103"
"1000000395","1000000103"
"1000000396","1000000103"
"1000000397","1000000103"
"1000000398","1000000103"
"1000000399","1000000103"
"1000000400","1000000103"
"1000000401","1000000103"
"1000000402","1000000103"
"1000000403","1000000103"
"1000000404","1000000103"
"1000000405","1000000103"
"1000000406","1000000103"
"1000000407","1000000103"
"1000000408","1000000103"
"1000000409","1000000103"
"1000000410","1000000103"
"1000000411","1000000103"
"1000000412","1000000103"
"1000000413","1000000103"
"1000000414","1000000103"
"1000000415","1000000103"
"1000000416","1000000103"
"1000000417","1000000103"
"1000000418","1000000103"
"1000000419","1000000103"
"1000000420","1000000103"
"1000000421","1000000103"
"1000000422","1000000103"
"1000000423","1000000103"
"1000000424","1000000103"
"1000000425","1000000103"
"1000000426","1000000103"
"1000000427","1000000103"
"1000000428","1000000103"
"1000000429","1000000103"
"1000000430","1000000103"
"1000000431","1000000103"
"1000000432","1000000103"
"1000000433","1000000103"
"1000000434","1000000103"
"1000000435","1000000103"
"1000000436","1000000103"
"1000000437","1000000103"
"1000000438","1000000103"
"1000000439","1000000103"
"1000000440","1000000103"
"1000000441","1000000103"
"1000000442","1000000103"
"1000000443","1000000103"
"1000000444","1000000103"
"1000000445","1000000103"
"1000000446","1000000103"
"1000000447","1000000103"
"1000000448","1000000103"
"1000000449","1000000103"
"1000000450","1000000103"
"1000000451","1000000103"
"1000000452","1000000103"
"1000000453","1000000103"
"1000000454","1000000103"
"1000000455","1000000103"
"1000000456","1000000103"
"1000000457","1000000103"
"1000000458","1000000103"
"1000000459","1000000103"
"1000000460","1000000103"
"1000000461","1000000103"
"1000000462","1000000103"
"1000000463","1000000103"
"1000000464","1000000103"
"1000000465","1000000103"
"1000000466","1000000103"
"1000000467","1000000103"
"1000000468","1000000103"
"1000000469","1000000103"
"1000000470","1000000103"
"1000000471","1000000103"
"1000000472","1000000103"
"1000000473","1000000103"
"1000000474","1000000103"
"1000000475","1000000103"
"1000000476","1000000103"
"1000000477","1000000103"
"1000000478","1000000103"
"1000000479","1000000103"
"1000000480","1000000103"
"1000000481","1000000103"
"1000000482","1000000103"
"1000000483","1000000103"
"1000000484","1000000103"
"1000000485","1000000103"
"1000000486","1000000103"
"1000000487","1000000103"
"1000000488","1000000103"
"1000000489","1000000103"
"1000000490","1000000103"
"1000000491","1000000103"
"1000000492","1000000103"
"1000000493","1000000103"
"1000000494","1000000103"
"1000000495","1000000103"
"1000000496","1000000103"
"1000000497","1000000103"
"1000000498","1000000103"
"1000000499","1000000103"
"1000000500","1000000103"
"1000000501","1000000103"
"1000000502","1000000103"
"1000000503","1000000103"
"1000000504","1000000103"
"1000000505","1000000103"
"1000000506","1000000103"
"1000000507","1000000103"
"1000000508","1000000103"
"1000000509","1000000103"
"1000000510","1000000103"
"1000000511","1000000103"
"1000000512","1000000103"
"1000000513","1000000103"
"1000000514","1000000103"
"1000000515","1000000103"
"1000000516","1000000103"
"1000000517","1000000103"
"1000000518","1000000103"
"1000000519","1000000103"
"1000000520","1000000103"
"1000000521","1000000103"
"1000000522","1000000103"
"1000000523","1000000103"
"1000000524","1000000103"
"1000000525","1000000103"
"1000000526","1000000103"
"1000000527","1000000103"
"1000000528","1000000103"
"1000000529","1000000103"
"1000000530","1000000103"
"1000000531","1000000103"
"1000000532","1000000103"
"1000000533","1000000103"
"1000000534","1000000103"
"1000000535","1000000103"
"1000000536","1000000103"
"1000000537","1000000103"
"1000000538","1000000103"
"1000000539","1000000103"
"1000000540","1000000103"
"1000000541","1000000103"
"1000000542","1000000103"
"1000000543","1000000103"
"1000000544","1000000103"
"1000000545","1000000103"
"1000000546","1000000103"
"1000000547","1000000103"
"1000000548","1000000103"
"1000000549","1000000103"
"1000000550","1000000103"
"1000000551","1000000103"
"1000000552","1000000103"
"1000000553","1000000103"
"1000000554","1000000103"
"1000000555","1000000103"
"1000000556","1000000103"
"1000000557","1000000103"
"1000000558","1000000103"
"1000000559","1000000103"
"1000000560","1000000103"
"1000000561","1000000103"
"1000000562","1000000103"
"1000000563","1000000103"
"1000000564","1000000103"
"1000000565","1000000103"
"1000000566","1000000103"
"1000000567","1000000103"
"1000000568","1000000103"
"1000000569","1000000103"
"1000000570","1000000103"
"1000000571","1000000103"
"1000000572","1000000103"
"1000000573","1000000103"
"1000000574","1000000103"
"1000000575","1000000103"
"1000000576","1000000103"
"1000000577","1000000103"
"1000000578","1000000103"
"1000000579","1000000103"
"1000000580","1000000066"
"1000000581","1000000065"
"1000000582","1000000070"
"1000000583","1000000096"
"1000000584","1000000060"
"1000000585","1000000103"
"1000000586","1000000103"
"1000000587","1000000103"
"1000000588","1000000103"
"1000000589","1000000103"
"1000000590","1000000103"
"1000000591","1000000103"
"1000000592","1000000103"
"1000000593","1000000103"
"1000000594","1000000103"
"1000000595","1000000103"
"1000000596","1000000103"
"1000000597","1000000103"
"1000000598","1000000103"
"1000000599","1000000103"
"1000000600","1000000023"
"1000000601","1000000023"
"1000000602","1000000023"
"1000000603","1000000023"
"1000000604","1000000023"
"1000000605","1000000023"
"1000000606","1000000023"
"1000000607","1000000023"
"1000000608","1000000023"
"1000000609","1000000023"
"1000000610","1000000023"
"1000000611","1000000023"
"1000000612","1000000023"
"1000000613","1000000023"
"1000000614","1000000023"
"1000000615","1000000023"
"1000000616","1000000023"
"1000000617","1000000023"
"1000000618","1000000023"
"1000000619","1000000023"
"1000000620","1000000023"
"1000000621","1000000023"
"1000000622","1000000023"
"1000000623","1000000023"
"1000000624","1000000023"
"1000000625","1000000023"
"1000000626","1000000023"
"1000000627","1000000023"
"1000000628","1000000023"
"1000000629","1000000023"
"1000000630","1000000023"
"1000000631","1000000023"
"1000000632","1000000023"
"1000000633","1000000023"
"1000000634","1000000023"
"1000000635","1000000023"
"1000000636","1000000023"
"1000000637","1000000023"
"1000000638","1000000023"
"1000000639","1000000023"
"1000000640","1000000023"
"1000000641","1000000023"
"1000000642","1000000023"
"1000000643","1000000023"
"1000000644","1000000023"
"1000000645","1000000023"
"1000000646","1000000023"
"1000000647","1000000023"
"1000000648","1000000023"
"1000000649","1000000023"
"1000000650","1000000023"
"1000000651","1000000023"
"1000000652","1000000023"
"1000000653","1000000023"
"1000000654","1000000023"
"1000000655","1000000023"
"1000000656","1000000023"
"1000000657","1000000023"
"1000000658","1000000023"
"1000000659","1000000023"
"1000000660","1000000023"
"1000000661","1000000023"
"1000000662","1000000023"
"1000000663","1000000023"
"1000000664","1000000023"
"1000000665","1000000023"
"1000000666","1000000023"
"1000000667","1000000023"
"1000000668","1000000023"
"1000000669","1000000023"
"1000000670","1000000023"
"1000000671","1000000023"
"1000000672","1000000023"
"1000000673","1000000023"
"1000000674","1000000023"
"1000000675","1000000023"
"1000000676","1000000023"
"1000000677","1000000023"
"1000000678","1000000023"
"1000000679","1000000023"
"1000000680","1000000023"
"1000000681","1000000023"
"1000000682","1000000023"
"1000000683","1000000023"
"1000000684","1000000023"
"1000000685","1000000023"
"1000000686","1000000023"
"1000000687","1000000023"
"1000000688","1000000023"
"1000000689","1000000023"
"1000000690","1000000023"
"1000000691","1000000023"
"1000000692","1000000023"
"1000000693","1000000023"
"1000000694","1000000023"
"1000000695","1000000023"
"1000000696","1000000023"
"1000000697","1000000023"
"1000000698","1000000023"
"1000000699","1000000023"
"1000000700","1000000023"
"1000000701","1000000023"
"1000000702","1000000023"
"1000000703","1000000023"
"1000000704","1000000023"
"1000000705","1000000023"
"1000000706","1000000023"
"1000000707","1000000023"
"1000000708","1000000023"
"1000000709","1000000023"
"1000000710","1000000023"
"1000000711","1000000023"
"1000000712","1000000023"
"1000000713","1000000023"
"1000000714","1000000023"
"1000000715","1000000023"
"1000000716","1000000023"
"1000000717","1000000023"
"1000000718","1000000023"
"1000000719","1000000023"
"1000000720","1000000023"
"1000000721","1000000023"
"1000000722","1000000023"
"1000000723","1000000023"
"1000000724","1000000023"
"1000000725","1000000023"
"1000000726","1000000023"
"1000000727","1000000023"
"1000000728","1000000023"
"1000000729","1000000023"
"1000000730","1000000023"
"1000000731","1000000023"
"1000000732","1000000023"
"1000000733","1000000023"
"1000000734","1000000023"
"1000000735","1000000023"
"1000000736","1000000023"
"1000000737","1000000023"
"1000000738","1000000023"
"1000000739","1000000023"
"1000000740","1000000023"
"1000000741","1000000023"
"1000000742","1000000023"
"1000000743","1000000023"
"1000000744","1000000023"
"1000000745","1000000023"
"1000000746","1000000023"
"1000000747","1000000023"
"1000000748","1000000023"
"1000000749","1000000023"
"1000000750","1000000023"
"1000000751","1000000023"
"1000000752","1000000023"
"1000000753","1000000023"
"1000000754","1000000023"
"1000000755","1000000023"
"1000000756","1000000023"
"1000000757","1000000023"
"1000000758","1000000023"
"1000000759","1000000023"
"1000000760","1000000023"
"1000000761","1000000023"
"1000000762","1000000023"
"1000000763","1000000023"
"1000000764","1000000023"
"1000000765","1000000023"
"1000000766","1000000023"
"1000000767","1000000023"
"1000000768","1000000023"
"1000000769","1000000023"
"1000000770","1000000023"
"1000000771","1000000023"
"1000000772","1000000023"
"1000000773","1000000023"
"1000000774","1000000023"
"1000000775","1000000023"
"1000000776","1000000023"
"1000000777","1000000023"
"1000000778","1000000023"
"1000000779","1000000023"
"1000000780","1000000023"
"1000000781","1000000023"
"1000000782","1000000023"
"1000000783","1000000023"
"1000000784","1000000023"
"1000000785","1000000023"
"1000000786","1000000023"
"1000000787","1000000023"
"1000000788","1000000023"
"1000000789","1000000023"
"1000000790","1000000023"
"1000000791","1000000023"
"1000000792","1000000023"
"1000000793","1000000023"
"1000000794","1000000023"
"1000000795","1000000023"
"1000000796","1000000023"
"1000000797","1000000023"
"1000000798","1000000023"
"1000000799","1000000023"
"1000000800","1000000023"
"1000000801","1000000023"
"1000000802","1000000023"
"1000000803","1000000023"
"1000000804","1000000023"
"1000000805","1000000023"
"1000000806","1000000023"
"1000000807","1000000023"
"1000000808","1000000023"
"1000000809","1000000023"
"1000000810","1000000023"
"1000000811","1000000023"
"1000000812","1000000023"
"1000000813","1000000023"
"1000000814","1000000023"
"1000000815","1000000023"
"1000000816","1000000023"
"1000000817","1000000023"
"1000000818","1000000023"
"1000000819","1000000023"
"1000000820","1000000023"
"1000000821","1000000023"
"1000000822","1000000023"
"1000000823","1000000023"
"1000000824","1000000023"
"1000000825","1000000023"
"1000000826","1000000023"
"1000000827","1000000023"
"1000000828","1000000023"
"1000000829","1000000023"
"1000000830","1000000023"
"1000000831","1000000023"
"1000000832","1000000023"
"1000000833","1000000023"
"1000000834","1000000023"
"1000000835","1000000023"
"1000000836","1000000023"
"1000000837","1000000023"
"1000000838","1000000023"
"1000000839","1000000023"
"1000000840","1000000023"
"1000000841","1000000023"
"1000000842","1000000023"
"1000000843","1000000023"
"1000000844","1000000023"
"1000000845","1000000023"
"1000000846","1000000023"
"1000000847","1000000023"
"1000000848","1000000023"
"1000000849","1000000023"
"1000000850","1000000023"
"1000000851","1000000023"
"1000000852","1000000023"
"1000000853","1000000023"
"1000000854","1000000023"
"1000000855","1000000023"
"1000000856","1000000023"
"1000000857","1000000023"
"1000000858","1000000023"
"1000000859","1000000023"
"1000000860","1000000023"
"1000000861","1000000023"
"1000000862","1000000023"
"1000000863","1000000023"
"1000000864","1000000023"
"1000000865","1000000023"
"1000000866","1000000023"
"1000000867","1000000023"
"1000000868","1000000023"
"1000000869","1000000023"
"1000000870","1000000023"
"1000000871","1000000023"
"1000000872","1000000023"
"1000000873","1000000023"
"1000000874","1000000023"
"1000000875","1000000023"
"1000000876","1000000023"
"1000000877","1000000023"
"1000000878","1000000023"
"1000000879","1000000023"
"1000000880","1000000023"
"1000000881","1000000023"
"1000000882","1000000023"
"1000000883","1000000023"
"1000000884","1000000023"
"1000000885","1000000023"
"1000000886","1000000023"
"1000000887","1000000023"
"1000000888","1000000023"
"1000000889","1000000023"
"1000000890","1000000023"
"1000000891","1000000023"
"1000000892","1000000023"
"1000000893","1000000023"
"1000000894","1000000023"
"1000000895","1000000023"
"1000000896","1000000023"
"1000000897","1000000023"
"1000000898","1000000023"
"1000000899","1000000023"
"1000000900","1000000023"
"1000000901","1000000023"
"1000000902","1000000023"
"1000000903","1000000023"
"1000000904","1000000023"
"1000000905","1000000023"
"1000000906","1000000023"
"1000000907","1000000023"
"1000000908","1000000023"
"1000000909","1000000023"
"1000000910","1000000023"
"1000000911","1000000023"
"1000000912","1000000023"
"1000000913","1000000023"
"1000000914","1000000023"
"1000000915","1000000023"
"1000000916","1000000023"
"1000000917","1000000023"
"1000000918","1000000023"
"1000000919","1000000023"
"1000000920","1000000023"
"1000000921","1000000023"
"1000000922","1000000023"
"1000000923","1000000023"
"1000000924","1000000023"
"1000000925","1000000023"
"1000000926","1000000023"
"1000000927","1000000023"
"1000000928","1000000023"
"1000000929","1000000023"
"1000000930","1000000023"
"1000000931","1000000023"
"1000000932","1000000023"
"1000000933","1000000023"
"1000000934","1000000023"
"1000000935","1000000023"
"1000000936","1000000023"
"1000000937","1000000023"
"1000000938","1000000023"
"1000000939","1000000023"
"1000000940","1000000023"
"1000000941","1000000023"
"1000000942","1000000023"
"1000000943","1000000023"
"1000000944","1000000023"
"1000000945","1000000023"
"1000000946","1000000023"
"1000000947","1000000023"
"1000000948","1000000023"
"1000000949","1000000023"
"1000000950","1000000023"
"1000000951","1000000023"
"1000000952","1000000023"
"1000000953","1000000023"
"1000000954","1000000023"
"1000000955","1000000023"
"1000000956","1000000023"
"1000000957","1000000023"
"1000000958","1000000023"
"1000000959","1000000023"
"1000000960","1000000023"
"1000000961","1000000023"
"1000000962","1000000023"
"1000000963","1000000023"
"1000000964","1000000023"
"1000000965","1000000023"
"1000000966","1000000023"
"1000000967","1000000023"
"1000000968","1000000023"
"1000000969","1000000023"
"1000000970","1000000023"
"1000000971","1000000023"
"1000000972","1000000023"
"1000000973","1000000023"
"1000000974","1000000023"
"1000000975","1000000023"
"1000000976","1000000023"
"1000000977","1000000023"
"1000000978","1000000023"
"1000000979","1000000023"
"1000000980","1000000023"
"1000000981","1000000023"
"1000000982","1000000023"
"1000000983","1000000023"
"1000000984","1000000023"
"1000000985","1000000023"
"1000000986","1000000023"
"1000000987","1000000023"
"1000000988","1000000023"
"1000000989","1000000023"
"1000000990","1000000023"
"1000000991","1000000023"
"1000000992","1000000023"
"1000000993","1000000023"
"1000000994","1000000023"
"1000000995","1000000023"
"1000000996","1000000023"
"1000000997","1000000023"
"1000000998","1000000023"
"1000000999","1000000023"
"1000001000","1000000023"
"1000001001","1000000023"
"1000001002","1000000023"
"1000001003","1000000023"
"1000001004","1000000023"
"1000001005","1000000023"
"1000001006","1000000023"
"1000001007","1000000023"
"1000001008","1000000023"
"1000001009","1000000023"
"1000001010","1000000023"
"1000001011","1000000023"
"1000001012","1000000023"
"1000001013","1000000023"
"1000001014","1000000023"
"1000001015","1000000023"
"1000001016","1000000023"
"1000001017","1000000023"
"1000001018","1000000023"
"1000001019","1000000023"
"1000001020","1000000023"
"1000001021","1000000023"
"1000001022","1000000023"
"1000001023","1000000023"
"1000001024","1000000023"
"1000001025","1000000023"
"1000001026","1000000023"
"1000001027","1000000023"
"1000001028","1000000023"
"1000001029","1000000023"
"1000001030","1000000023"
"1000001031","1000000023"
"1000001032","1000000023"
"1000001033","1000000023"
"1000001034","1000000023"
"1000001035","1000000023"
"1000001036","1000000023"
"1000001037","1000000023"
"1000001038","1000000023"
"1000001039","1000000023"
"1000001040","1000000023"
"1000001041","1000000023"
"1000001042","1000000023"
"1000001043","1000000023"
"1000001044","1000000023"
"1000001045","1000000023"
"1000001046","1000000023"
"1000001047","1000000023"
"1000001048","1000000023"
"1000001049","1000000023"
"1000001050","1000000023"
"1000001051","1000000023"
"1000001052","1000000023"
"1000001053","1000000023"
"1000001054","1000000023"
"1000001055","1000000023"
"1000001056","1000000023"
"1000001057","1000000023"
"1000001058","1000000023"
"1000001059","1000000023"
"1000001060","1000000023"
"1000001061","1000000023"
"1000001062","1000000023"
"1000001063","1000000023"
"1000001064","1000000023"
"1000001065","1000000023"
"1000001066","1000000023"
"1000001067","1000000023"
"1000001068","1000000023"
"1000001069","1000000023"
"1000001070","1000000023"
"1000001071","1000000023"
"1000001072","1000000023"
"1000001073","1000000023"
"1000001074","1000000023"
"1000001075","1000000023"
"1000001076","1000000023"
"1000001077","1000000023"
"1000001078","1000000023"
"1000001079","1000000023"
"1000001080","1000000023"
"1000001081","1000000023"
"1000001082","1000000023"
"1000001083","1000000023"
"1000001084","1000000023"
"1000001085","1000000023"
"1000001086","1000000023"
"1000001087","1000000023"
"1000001088","1000000023"
"1000001089","1000000023"
"1000001090","1000000023"
"1000001091","1000000023"
"1000001092","1000000023"
"1000001093","1000000023"
"1000001094","1000000023"
"1000001095","1000000023"
"1000001096","1000000061"
"1000001097","1000000078"
"1000001098","1000000036"
"1000001099","1000000089"
"1000001100","1000000114"
"1000001101","1000000028"
"1000001102","1000000023"
"1000001103","1000000023"
"1000001104","1000000023"
"1000001105","1000000023"
"1000001106","1000000023"
"1000001107","1000000023"
"1000001108","1000000023"
"1000001109","1000000072"
"1000001110","1000000028"
"1000001111","1000000023"
"1000001112","1000000023"
"1000001113","1000000023"
"1000001114","1000000023"
"1000001115","1000000023"
"1000001116","1000000023"
"1000001117","1000000023"
"1000001118","1000000028"
"1000001119","1000000023"
"1000001120","1000000023"
"1000001121","1000000023"
"1000001122","1000000023"
"1000001123","1000000023"
"1000001124","1000000023"
"1000001125","1000000023"
"1000001126","1000000028"
"1000001127","1000000023"
"1000001128","1000000023"
"1000001129","1000000023"
"1000001130","1000000023"
"1000001131","1000000023"
"1000001132","1000000023"
"1000001133","1000000023"
"1000001134","1000000028"
"1000001135","1000000023"
"1000001136","1000000023"
"1000001137","1000000023"
"1000001138","1000000023"
"1000001139","1000000023"
"1000001140","1000000023"
"1000001141","1000000061"
"1000001142","1000000028"
"1000001143","1000000023"
